PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,1
2,D,1,10,R,-30,Run,Rush,-2,Double Wing,--,BAL,L,--,--,--,--,--,1
3,D,2,12,L,-28,Run,Rush,14,Double Wing,--,BAL,R,--,--,--,--,--,1
4,D,1,10,R,-42,Run,Rush,25,Double Wing,--,BAL,R,--,--,--,--,--,1
5,D,1,10,R,33,Run,Rush,5,Double Wing,--,BAL,L,--,--,--,--,--,1
6,D,2,5,R,28,Run,Rush,1,Double Wing,--,BAL,L,--,--,--,--,--,1
7,D,3,4,M,27,Run,Rush,6,Double Wing,--,BAL,R,--,--,--,--,--,1
8,D,1,10,R,21,Run,Rush,8,Double Wing,--,BAL,R,--,--,--,--,--,1
9,D,2,2,R,13,Pass,"Complete, TD",13,Double Wing,--,BAL,L,--,--,--,--,--,1
10,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
11,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,1
12,O,1,10,M,-40,Run,Rush,4,Double Wing,Fire 3 Duck,BAL,R,--,--,--,--,--,1
13,O,2,6,R,-44,Run,Rush,2,PRO,2 WISCONSIN POWER,R,L,--,--,--,--,--,1
14,O,3,4,M,-46,Pass,Incomplete,0,Trips Tight,STICK 4 PUMP,L,L,--,--,--,--,--,1
15,K,4,4,M,-46,Punt,Downed,--,Double Tight Wing,--,R,--,--,--,--,--,--,1
16,D,1,10,R,-22,Run,Rush,1,Double Wing,--,BAL,L,--,--,--,--,--,1
17,D,2,9,R,-23,Pass,Complete,15,Trips,--,L,L,--,--,--,--,--,1
18,D,1,10,L,-38,Pass,Penalty,-10,Double Wing,--,BAL,R,--,--,--,--,--,1
19,D,1,20,M,-28,Run,Rush,-6,Trips,--,L,R,--,--,--,--,--,1
20,D,2,26,M,-22,Pass,Incomplete,0,Trips,--,R,L,--,--,--,--,--,1
21,D,3,26,M,-22,Pass,Complete,8,Trips,--,L,L,--,--,--,--,--,1
22,K,4,18,L,-30,Punt Rec,Timeout,0,ACE,--,BAL,--,--,--,--,--,--,1
23,K,4,18,L,-30,Punt Rec,Return,--,--,--,--,--,--,--,--,--,--,1
24,O,1,10,R,-33,Run,Rush,3,Ace Twins,3 IOWA,R,L,--,--,--,--,--,1
25,O,2,7,M,-36,Run,Rush,1,Twins,2 WOLVERINE BLACK,R,R,--,--,--,--,--,1
26,O,3,6,R,-37,Run,Rush,1,LIZ,LAZOR 4 OREGON,R,L,--,--,--,--,--,1
27,K,4,5,M,-38,Punt,Downed,--,--,--,--,--,--,--,--,--,--,1
28,D,1,10,R,-35,Run,Rush,11,Double Wing,--,BAL,R,--,--,--,--,--,1
29,D,1,10,R,-46,Pass,Incomplete,0,Double Wing,--,BAL,L,--,--,--,--,--,1
30,D,2,10,R,-46,Run,Rush,2,Double Wing,--,BAL,L,--,--,--,--,--,1
31,D,3,8,M,-48,Pass,Complete,31,Double Wing,--,BAL,R,--,--,--,--,--,1
32,D,1,10,R,21,Run,Rush,10,Double Wing,--,BAL,R,--,--,--,--,--,1
33,D,1,10,R,11,Pass,Incomplete,0,Double Wing,--,BAL,L,--,--,--,--,--,2
34,D,2,10,R,11,Run,Rush,6,Double Wing,--,BAL,R,--,--,--,--,--,2
35,D,3,4,R,5,--,Timeout,0,--,--,--,--,--,--,--,--,--,2
36,D,3,4,R,5,--,Penalty,-6,Ace Wing,--,R,--,--,--,--,--,--,2
37,D,4,10,R,11,Pass,Incomplete,0,Double Wing,--,BAL,L,--,--,--,--,--,2
38,O,1,10,L,-11,Run,Rush,8,Ace Twins,LAZOR 2 TIGER,R,R,--,--,--,--,--,2
39,O,2,2,L,-19,Run,Penalty,-10,Ace Twins,2 GEORGIA BOOT,R,R,--,--,--,--,--,2
40,O,2,12,L,-9,Pass,Complete,9,Ace Twins,2 RAZOR LEFT,R,L,--,--,--,--,--,2
41,O,3,3,L,-18,Run,Rush,2,PRO,2 MICHIGAN ICE,L,L,--,--,--,--,--,2
42,K,4,1,L,-20,Punt,Fair Catch,--,--,--,--,--,--,--,--,--,--,2
43,D,1,10,R,45,Run,Rush,4,Trips,--,L,L,--,--,--,--,--,2
44,D,2,6,M,41,Run,Rush,0,Trips,--,R,R,--,--,--,--,--,2
45,D,3,6,R,41,Run,Rush,23,Trips,--,R,R,--,--,--,--,--,2
46,D,1,10,R,18,Run,Rush,4,Trips,--,L,R,--,--,--,--,--,2
47,D,2,6,R,14,Run,Rush,11,Trips,--,L,L,--,--,--,--,--,2
48,D,1,3,L,3,Pass,Incomplete,0,Doubles Wing,--,L,R,--,--,--,--,--,2
49,D,2,3,L,3,Run,Rush,-3,Double Wing,--,BAL,R,--,--,--,--,--,2
50,D,3,6,M,6,Run,"Rush, TD",6,Double Wing,--,BAL,R,--,--,--,--,--,2
