PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF PLAY,OFF STR,PLAY DIR,QTR,TD_SCORED,SAFETY,FUMBLE,INTERCEPTION,TURNOVER,RB,TE,WR
2,o,1,10,2,-20,0.0,0,0,--,0,1,1,0,0,0,0,0,1,0,4
3,o,2,10,2,-20,1.0,1,-2,--,1,1,1,0,0,0,0,0,1,0,4
4,o,3,12,1,-18,1.0,2,0,--,1,0,1,0,0,0,0,0,1,1,3
10,o,1,10,2,-20,0.0,0,1,--,2,1,1,0,0,0,0,0,1,0,4
11,o,2,9,1,-21,0.0,0,2,--,0,1,1,0,0,0,0,0,1,0,4
12,o,3,7,1,-23,1.0,3,12,--,2,1,1,0,0,0,0,0,1,0,4
13,o,1,10,1,-35,0.0,0,7,--,1,1,1,0,0,0,0,0,1,0,4
14,o,2,3,1,-42,0.0,0,1,--,1,0,1,0,0,0,0,0,1,0,4
15,o,3,2,1,-43,1.0,3,1,--,2,0,1,0,0,0,0,0,1,0,4
17,o,4,1,0,-44,0.0,0,0,--,1,1,1,0,0,0,0,0,2,1,2
23,o,1,10,2,-20,1.0,2,0,--,1,1,1,0,0,0,0,0,1,0,4
24,o,2,10,1,-20,1.0,2,0,--,2,0,1,0,0,0,0,0,1,0,4
25,o,3,10,1,-20,1.0,3,45,--,0,1,1,0,0,0,0,0,1,0,4
26,o,1,10,1,35,0.0,0,2,--,1,1,1,0,0,0,0,0,1,0,4
27,o,2,8,1,33,1.0,1,-8,--,2,1,1,0,0,0,0,0,1,0,4
28,o,3,16,1,41,1.0,2,0,--,2,1,1,0,0,0,0,0,1,0,4
37,o,1,10,2,-42,1.0,2,0,--,1,1,2,0,0,0,0,0,1,0,4
38,o,2,10,2,-42,0.0,0,0,--,0,0,2,0,0,0,0,0,2,1,2
39,o,3,10,0,-42,1.0,2,0,--,1,1,2,0,0,0,0,0,1,0,4
57,o,1,10,1,-22,0.0,0,0,--,1,0,2,0,0,0,0,0,1,0,4
58,o,2,10,1,-22,1.0,2,0,--,1,1,2,0,0,0,0,0,1,0,4
60,o,3,10,1,-22,1.0,5,--,--,1,1,2,0,0,0,1,1,1,0,4
65,o,1,10,2,-20,0.0,0,2,--,1,0,2,0,0,0,0,0,1,0,4
66,o,2,8,0,-22,1.0,3,0,--,2,1,2,0,0,0,0,0,1,0,4
67,o,3,9,2,-22,0.0,0,5,--,1,0,2,0,0,0,0,0,1,0,4
68,o,4,4,0,-27,0.0,0,1,--,--,0,2,0,0,0,0,0,0,0,0
70,o,1,10,1,-2,0.0,0,-2,--,0,1,2,0,1,0,0,1,1,0,4
75,o,1,10,1,-20,0.0,0,5,--,1,1,2,0,0,0,0,0,1,0,4
91,o,1,10,0,-20,1.0,2,0,--,2,0,3,0,0,0,0,0,1,0,4
92,o,2,10,0,-20,1.0,3,8,--,1,1,3,0,0,0,0,0,1,0,4
93,o,3,2,1,-28,1.0,2,0,--,2,1,3,0,0,0,0,0,1,0,4
94,o,4,2,1,-28,0.0,0,-2,--,2,0,3,0,0,0,0,0,1,0,4
99,o,1,10,1,-20,0.0,0,6,--,0,1,4,0,0,0,0,0,1,0,4
100,o,2,4,1,-26,0.0,0,5,--,1,1,4,0,0,0,0,0,1,0,4
101,o,1,10,1,-31,0.0,0,0,--,2,1,4,0,0,0,0,0,1,0,4
102,o,2,10,1,-31,0.0,0,-5,--,2,0,4,0,0,0,0,0,1,0,4
103,o,3,15,2,-26,1.0,2,0,--,2,1,4,0,0,0,0,0,1,0,4
109,o,1,10,2,-38,0.0,6,7,--,0,0,4,0,0,1,0,1,1,0,4
2,o,1,10,1,-38,0.0,0,3,--,1,1,1,0,0,0,0,0,1,0,4
3,o,2,7,1,-41,1.0,1,-3,--,2,1,1,0,0,0,0,0,1,0,4
4,o,3,10,1,-38,1.0,2,0,--,0,0,1,0,0,0,0,0,1,0,4
12,o,1,10,1,-39,0.0,0,2,--,1,1,1,0,0,0,0,0,1,0,4
13,o,2,8,1,-41,0.0,0,4,--,0,0,1,0,0,0,0,0,1,0,4
14,o,3,4,0,-45,0.0,0,-12,--,1,1,1,0,0,0,0,0,1,0,4
29,o,1,10,2,-40,1.0,1,-7,--,1,0,1,0,0,0,0,0,1,0,4
30,o,2,17,0,-33,1.0,2,0,--,1,1,1,0,0,0,0,0,1,0,4
31,o,3,17,0,-33,1.0,3,13,--,2,0,1,0,0,0,0,0,1,0,4
32,o,4,4,0,-46,0.0,0,0,--,1,1,1,0,0,0,0,0,2,1,2
43,o,1,10,2,-3,0.0,0,3,--,1,0,2,0,0,0,0,0,1,0,4
44,o,2,7,2,-6,0.0,0,3,--,1,0,2,0,0,0,0,0,1,0,4
46,o,3,4,2,-9,0.0,0,2,--,1,0,2,0,0,0,0,0,1,0,4
52,o,1,10,0,-19,0.0,0,-1,--,1,0,2,0,0,0,0,0,1,0,4
