PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF PLAY,OFF STR,PLAY DIR,QTR,TD_SCORED,SAFETY,FUMBLE,INTERCEPTION,TURNOVER,RB,TE,WR
2,o,1,10,2.0,-20,0.0,0,0,--,0,1,1,0,0,0,0,0,1,0,4
3,o,2,10,2.0,-20,1.0,1,-2,--,1,1,1,0,0,0,0,0,1,0,4
4,o,3,12,1.0,-18,1.0,2,0,--,1,0,1,0,0,0,0,0,1,1,3
10,o,1,10,2.0,-20,0.0,0,1,--,2,1,1,0,0,0,0,0,1,0,4
11,o,2,9,1.0,-21,0.0,0,2,--,0,1,1,0,0,0,0,0,1,0,4
12,o,3,7,1.0,-23,1.0,3,12,--,2,1,1,0,0,0,0,0,1,0,4
13,o,1,10,1.0,-35,0.0,0,7,--,1,1,1,0,0,0,0,0,1,0,4
14,o,2,3,1.0,-42,0.0,0,1,--,1,0,1,0,0,0,0,0,1,0,4
15,o,3,2,1.0,-43,1.0,3,1,--,2,0,1,0,0,0,0,0,1,0,4
17,o,4,1,0.0,-44,0.0,0,0,--,1,1,1,0,0,0,0,0,2,1,2
23,o,1,10,2.0,-20,1.0,2,0,--,1,1,1,0,0,0,0,0,1,0,4
24,o,2,10,1.0,-20,1.0,2,0,--,2,0,1,0,0,0,0,0,1,0,4
25,o,3,10,1.0,-20,1.0,3,45,--,0,1,1,0,0,0,0,0,1,0,4
26,o,1,10,1.0,35,0.0,0,2,--,1,1,1,0,0,0,0,0,1,0,4
27,o,2,8,1.0,33,1.0,1,-8,--,2,1,1,0,0,0,0,0,1,0,4
28,o,3,16,1.0,41,1.0,2,0,--,2,1,1,0,0,0,0,0,1,0,4
37,o,1,10,2.0,-42,1.0,2,0,--,1,1,2,0,0,0,0,0,1,0,4
38,o,2,10,2.0,-42,0.0,0,0,--,0,0,2,0,0,0,0,0,2,1,2
39,o,3,10,0.0,-42,1.0,2,0,--,1,1,2,0,0,0,0,0,1,0,4
57,o,1,10,1.0,-22,0.0,0,0,--,1,0,2,0,0,0,0,0,1,0,4
58,o,2,10,1.0,-22,1.0,2,0,--,1,1,2,0,0,0,0,0,1,0,4
60,o,3,10,1.0,-22,1.0,5,--,--,1,1,2,0,0,0,1,1,1,0,4
65,o,1,10,2.0,-20,0.0,0,2,--,1,0,2,0,0,0,0,0,1,0,4
66,o,2,8,0.0,-22,1.0,3,0,--,2,1,2,0,0,0,0,0,1,0,4
67,o,3,9,2.0,-22,0.0,0,5,--,1,0,2,0,0,0,0,0,1,0,4
68,o,4,4,0.0,-27,0.0,0,1,--,--,0,2,0,0,0,0,0,0,0,0
70,o,1,10,1.0,-2,0.0,0,-2,--,0,1,2,0,1,0,0,1,1,0,4
75,o,1,10,1.0,-20,0.0,0,5,--,1,1,2,0,0,0,0,0,1,0,4
91,o,1,10,0.0,-20,1.0,2,0,--,2,0,3,0,0,0,0,0,1,0,4
92,o,2,10,0.0,-20,1.0,3,8,--,1,1,3,0,0,0,0,0,1,0,4
93,o,3,2,1.0,-28,1.0,2,0,--,2,1,3,0,0,0,0,0,1,0,4
94,o,4,2,1.0,-28,0.0,0,-2,--,2,0,3,0,0,0,0,0,1,0,4
99,o,1,10,1.0,-20,0.0,0,6,--,0,1,4,0,0,0,0,0,1,0,4
100,o,2,4,1.0,-26,0.0,0,5,--,1,1,4,0,0,0,0,0,1,0,4
101,o,1,10,1.0,-31,0.0,0,0,--,2,1,4,0,0,0,0,0,1,0,4
102,o,2,10,1.0,-31,0.0,0,-5,--,2,0,4,0,0,0,0,0,1,0,4
103,o,3,15,2.0,-26,1.0,2,0,--,2,1,4,0,0,0,0,0,1,0,4
109,o,1,10,2.0,-38,0.0,6,7,--,0,0,4,0,0,1,0,1,1,0,4
16,o,1,10,0.0,-45,,8,6,--,2,--,1,0,0,0,0,0,1,1,3
17,o,1,4,0.0,49,,8,5,--,1,--,1,0,0,0,0,0,1,2,2
18,o,1,10,0.0,44,0.0,0,-8,--,1,1,1,0,0,0,0,0,1,2,2
19,o,2,18,1.0,-48,0.0,0,-3,--,0,0,1,0,0,0,0,0,2,1,2
20,o,3,21,2.0,-45,1.0,2,0,--,2,0,1,0,0,0,0,0,1,2,2
30,o,1,10,0.0,-29,0.0,0,4,--,2,1,1,0,0,0,0,0,1,2,2
31,o,2,6,2.0,-33,0.0,0,3,--,2,0,1,0,0,0,0,0,1,0,4
32,o,3,3,2.0,-36,1.0,3,9,--,2,0,1,0,0,0,0,0,1,0,4
33,o,1,10,0.0,-45,0.0,6,4,--,1,1,1,0,0,1,0,1,1,0,4
34,o,1,10,0.0,-49,0.0,0,12,--,2,1,2,0,0,0,0,0,1,2,2
35,o,1,10,1.0,39,0.0,0,8,--,1,1,2,0,0,0,0,0,1,0,4
36,o,2,2,1.0,31,0.0,6,4,--,1,0,2,0,0,1,0,1,1,0,4
55,o,1,10,1.0,-8,0.0,0,9,--,0,0,2,0,0,0,0,0,1,2,2
56,o,2,1,2.0,-17,0.0,0,0,--,1,1,2,0,0,0,0,0,1,0,4
57,o,3,1,1.0,-17,0.0,0,0,--,1,0,2,0,0,0,0,0,2,0,3
64,o,1,10,1.0,-22,1.0,2,0,--,1,1,2,0,0,0,0,0,1,0,4
65,o,2,10,1.0,-22,1.0,3,3,--,0,0,2,0,0,0,0,0,1,0,4
66,o,3,7,0.0,-25,0.0,0,5,--,0,0,2,0,0,0,0,0,1,0,4
76,o,1,10,0.0,-38,0.0,0,4,--,2,0,3,0,0,0,0,0,1,2,2
77,o,2,6,0.0,-42,0.0,0,2,--,2,0,3,0,0,0,0,0,1,0,4
78,o,3,4,0.0,-44,0.0,0,-1,--,2,0,3,0,0,0,0,0,1,2,2
86,o,1,10,0.0,-46,1.0,2,0,--,1,0,3,0,0,0,0,0,1,0,4
87,o,2,10,0.0,-46,1.0,3,12,--,2,1,3,0,0,0,0,0,1,0,4
88,o,1,10,1.0,42,0.0,0,19,--,0,0,3,0,0,0,0,0,1,2,2
89,o,1,10,0.0,23,0.0,0,23,--,2,1,3,1,0,0,0,0,1,0,4
99,o,1,10,2.0,-37,1.0,2,0,--,0,1,3,0,0,0,0,0,1,0,4
100,o,2,10,2.0,-37,0.0,0,10,--,1,0,3,0,0,0,0,0,1,0,4
101,o,1,10,0.0,-47,0.0,0,2,--,0,1,3,0,0,0,0,0,1,2,2
102,o,2,8,2.0,-49,0.0,0,-7,--,1,0,3,0,0,0,0,0,2,1,2
103,o,3,15,0.0,-42,1.0,3,10,--,2,0,3,0,0,0,0,0,1,2,2
104,o,4,5,0.0,48,0.0,0,7,--,2,1,3,0,0,0,0,0,1,2,2
105,o,1,10,1.0,41,1.0,3,16,--,2,0,3,0,0,0,0,0,1,2,2
106,o,1,10,0.0,25,0.0,8,-12,--,0,0,3,0,0,0,0,0,1,2,2
107,o,1,22,0.0,37,0.0,0,4,--,1,0,3,0,0,0,0,0,1,0,4
108,o,2,18,0.0,33,1.0,3,1,--,2,0,3,0,0,0,0,0,1,0,4
109,o,3,17,0.0,32,,8,-5,--,0,--,3,0,0,0,0,0,2,0,3
110,o,3,22,0.0,37,1.0,2,0,--,1,1,3,0,0,0,0,0,0,0,5
115,o,1,10,0.0,49,0.0,8,-8,--,1,0,3,0,0,0,0,0,1,0,4
116,o,1,18,0.0,-43,0.0,0,-5,--,0,1,3,0,0,0,0,0,1,0,4
117,o,2,23,0.0,-38,0.0,0,13,--,2,1,4,0,0,0,0,0,1,0,4
118,o,3,10,1.0,49,1.0,3,17,--,0,1,4,0,0,0,0,0,1,0,4
119,o,1,10,1.0,32,0.0,0,1,--,1,0,4,0,0,0,0,0,1,2,2
120,o,2,9,0.0,31,0.0,0,3,--,1,1,4,0,0,0,0,0,1,0,4
121,o,3,6,1.0,28,1.0,2,0,--,2,1,4,0,0,0,0,0,1,0,4
122,o,4,6,1.0,28,1.0,3,28,--,2,1,4,1,0,0,0,0,1,0,4
133,o,1,10,2.0,-40,0.0,0,10,--,0,1,4,0,0,0,0,0,1,0,4
134,o,1,10,1.0,50,0.0,0,0,--,1,0,4,0,0,0,0,0,1,0,4
135,o,2,10,2.0,50,1.0,3,10,--,2,1,4,0,0,0,0,0,1,2,2
136,o,1,10,0.0,40,0.0,0,40,--,1,1,4,1,0,0,0,0,1,2,2
143,o,1,10,0.0,28,0.0,0,4,--,2,1,4,0,0,0,0,0,1,0,4
144,o,2,6,1.0,24,0.0,0,2,--,1,0,4,0,0,0,0,0,1,0,4
145,o,3,4,1.0,22,0.0,0,7,--,0,0,4,0,0,0,0,0,1,2,2
146,o,1,10,1.0,15,0.0,0,15,--,0,0,4,1,0,0,0,0,1,0,4
151,o,1,10,1.0,46,0.0,0,-1,--,2,0,4,0,0,0,0,0,1,0,4
3,o,1,10,1.0,29,0.0,0,28,--,1,0,1,0,0,0,0,0,2,0,3
4,o,1,1,0.0,1,0.0,0,0,--,--,0,1,0,0,0,0,0,0,0,0
5,o,2,1,0.0,1,0.0,0,-1,--,0,0,1,0,0,0,0,0,0,0,0
6,o,3,2,0.0,2,0.0,0,-4,--,0,1,1,0,0,0,0,0,2,0,3
14,o,1,10,1.0,-20,1.0,2,0,--,0,0,1,0,0,0,0,0,2,0,3
15,o,2,10,1.0,-20,0.0,0,20,--,0,0,1,0,0,0,0,0,1,0,4
16,o,1,10,0.0,-40,0.0,0,0,--,0,1,1,0,0,0,0,0,1,0,4
17,o,2,10,1.0,-40,1.0,3,19,--,0,0,1,0,0,0,0,0,1,0,4
18,o,1,10,0.0,41,1.0,3,15,--,0,1,1,0,0,0,0,0,2,0,3
19,o,1,10,1.0,26,0.0,0,11,--,0,0,1,0,0,0,0,0,1,2,2
20,o,1,10,0.0,15,0.0,0,14,--,0,0,1,0,0,0,0,0,1,0,4
