PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,1
2,D,1,10,R,-37,Run,Penalty,-5,DOUBLES,--,BAL,R,--,--,--,--,--,1
3,D,1,15,R,-32,Pass,"Complete, TD",68,DOUBLES,--,BAL,L,--,--,--,--,--,1
4,K,--,--,M,3,Extra Pt. Block,Block,--,--,--,--,--,--,--,--,--,--,1
5,K,--,--,R,-40,KO Rec,Out of Bounds,--,--,--,--,--,--,--,--,--,--,1
6,O,1,10,L,-35,Run,Rush,4,--,Michigan ME,L,R,--,--,--,--,--,1
7,O,2,6,M,-39,Run,Rush,2,DOUBLES,Lazor 3 Oregon,BAL,L,--,--,--,--,--,1
8,O,3,4,L,-41,Run,Rush,23,Wing Split,1 DUCK,R,R,--,--,--,--,--,1
9,O,1,10,R,36,Run,Rush,1,Twins,2 Tiger,R,R,--,--,--,--,--,1
10,O,2,9,R,35,Pass,Incomplete,0,Trips,Boot Lasso,L,L,--,--,--,--,--,1
11,O,3,9,R,35,Run,Rush,-12,Trips Pinch,3 Tunnel Left,L,L,--,--,--,--,--,1
12,K,4,21,M,47,Punt,Return,--,--,--,--,--,--,--,--,--,--,1
13,D,1,10,L,-23,Run,Rush,1,DOUBLES,--,BAL,R,--,--,--,--,--,1
14,D,2,9,M,-24,Run,Rush,11,DOUBLES,--,BAL,L,--,--,--,--,--,1
15,D,1,10,L,-35,Run,Rush,0,DOUBLES,--,BAL,L,--,--,--,--,--,1
16,D,2,10,L,-35,Pass,Penalty,10,DOUBLES,--,BAL,L,--,--,--,--,--,1
17,D,2,10,L,-45,Pass,Incomplete,0,DOUBLES,--,BAL,R,--,--,--,--,--,1
18,D,2,10,L,-45,Run,Rush,5,Twins Split,--,R,L,--,--,--,--,--,1
19,D,3,5,L,50,Pass,Complete,20,Twins Split,--,R,R,--,--,--,--,--,1
20,D,1,10,R,30,Run,Rush,3,PRO,--,R,R,--,--,--,--,--,1
21,D,2,7,R,27,Run,Rush,8,Twins Split,--,L,L,--,--,--,--,--,1
22,D,1,10,L,19,--,Penalty,-10,PRO,--,R,--,--,--,--,--,--,1
23,D,1,20,L,29,Run,Rush,4,PRO,--,R,R,--,--,--,--,--,1
24,D,2,16,M,25,Pass,Incomplete,0,Twins Split,--,L,L,--,--,--,--,--,1
25,D,3,16,M,25,Run,Rush,0,DOUBLES,--,BAL,L,--,--,--,--,--,1
