PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
1,K,--,--,M,-40,KO Rec,Touchback,--,--,--,--,--,--,--,--,--,--,1
2,O,1,10,M,-20,Run,Rush,0,Twins,--,R,L,--,--,--,--,--,1
3,O,2,10,M,-20,Pass,Sack,-2,Ace Twins,--,L,L,--,--,--,--,--,1
4,O,3,12,L,-18,Pass,Incomplete,0,LIZ,--,L,R,--,--,--,--,--,1
5,K,4,12,L,-18,Punt,Downed,--,--,--,--,--,--,--,--,--,--,1
6,D,1,10,M,30,Run,"Rush, TD",30,Ace Twins,--,R,R,--,--,--,--,--,1
7,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,1
8,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
9,K,--,--,M,-40,KO Rec,Touchback,--,--,--,--,--,--,--,--,--,--,1
10,O,1,10,M,-20,Run,Rush,1,DOUBLES,--,BAL,L,--,--,--,--,--,1
11,O,2,9,L,-21,Run,Rush,2,Twins,--,R,L,--,--,--,--,--,1
12,O,3,7,L,-23,Pass,Complete,12,DOUBLES,--,BAL,L,--,--,--,--,--,1
13,O,1,10,L,-35,Run,Rush,7,Twins Split,--,L,L,--,--,--,--,--,1
14,O,2,3,L,-42,Run,Rush,1,Twins Split,--,L,R,--,--,--,--,--,1
15,O,3,2,L,-43,Pass,Complete,1,DOUBLES,--,BAL,R,--,--,--,--,--,1
16,S,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1
17,O,4,1,R,-44,Run,Rush,0,PRO,--,L,L,--,--,--,--,--,1
18,D,1,10,M,44,Run,Rush,0,Twins,--,R,L,--,--,--,--,--,1
19,D,2,10,M,44,Run,Rush,2,Twins,--,R,L,--,--,--,--,--,1
20,D,3,8,L,42,Pass,"Complete, TD",42,DOUBLES,--,BAL,L,--,--,--,--,--,1
21,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,1
22,K,--,--,M,-40,KO Rec,Touchback,--,--,--,--,--,--,--,--,--,--,1
23,O,1,10,M,-20,Pass,Incomplete,0,Trips,--,L,L,--,--,--,--,--,1
24,O,2,10,L,-20,Pass,Incomplete,0,DOUBLES,--,BAL,R,--,--,--,--,--,1
25,O,3,10,L,-20,Pass,Complete,45,Trips,--,R,L,--,--,--,--,--,1
26,O,1,10,L,35,Run,Rush,2,Twins Split,--,L,L,--,--,--,--,--,1
27,O,2,8,L,33,Pass,Sack,-8,DOUBLES,--,BAL,L,--,--,--,--,--,1
28,O,3,16,L,41,Pass,Incomplete,0,DOUBLES,--,BAL,L,--,--,--,--,--,1
29,K,4,16,L,41,Punt,Downed,--,--,--,--,--,--,--,--,--,--,1
30,D,1,10,R,-11,Run,Rush,5,Twins,--,L,R,--,--,--,--,--,1
31,D,2,5,R,-16,Run,Rush,7,Twins,--,R,L,--,--,--,--,--,1
32,D,1,10,M,-23,--,Penalty,-6,DOUBLES,--,BAL,--,--,--,--,--,--,2
33,D,1,16,M,-17,Pass,Incomplete,0,DOUBLES,--,BAL,L,--,--,--,--,--,2
34,D,2,16,M,-17,Pass,Complete,14,DOUBLES,--,BAL,L,--,--,--,--,--,2
35,D,3,2,L,-31,Run,Rush,0,Twins,--,L,L,--,--,--,--,--,2
36,K,4,2,L,-31,Punt Rec,Downed,--,--,--,--,--,--,--,--,--,--,2
37,O,1,10,M,-42,Pass,Incomplete,0,Trips,--,L,L,--,--,--,--,--,2
38,O,2,10,M,-42,Run,Rush,0,PRO,--,R,R,--,--,--,--,--,2
39,O,3,10,R,-42,Pass,Incomplete,0,Twins Split,--,L,L,--,--,--,--,--,2
40,K,4,10,R,-42,Punt,Downed,--,--,--,--,--,--,--,--,--,--,2
41,D,1,10,L,-9,Run,Rush,10,Twins Split,--,R,R,--,--,--,--,--,2
42,D,1,10,M,-19,Run,Rush,5,Twins Split,--,L,R,--,--,--,--,--,2
43,D,2,5,R,-24,Run,Rush,4,Twins Split,--,L,R,--,--,--,--,--,2
44,D,3,1,R,-28,Run,Rush,7,Twins,--,L,L,--,--,--,--,--,2
45,D,1,10,R,-35,Run,Rush,2,Twins,--,L,L,--,--,--,--,--,2
46,D,2,8,R,-37,Pass,Complete,7,Twins,--,L,L,--,--,--,--,--,2
47,D,3,1,L,-44,Pass,Complete,25,Twins,--,R,R,--,--,--,--,--,2
48,D,1,10,R,31,Pass,Incomplete,0,Twins,--,L,L,--,--,--,--,--,2
49,D,2,10,R,31,Run,Rush,16,Twins,--,R,L,--,--,--,--,--,2
50,D,1,10,M,15,Run,Rush,10,Twins,--,L,L,--,--,--,--,--,2
51,D,1,5,L,5,Run,Rush,3,Twins,--,L,L,--,--,--,--,--,2
52,D,2,2,L,2,Run,Rush,0,Twins,--,L,L,--,--,--,--,--,2
53,D,3,2,L,2,Pass,Incomplete,0,Twins,--,R,R,--,--,--,--,--,2
54,D,4,2,L,2,Pass,"Complete, TD",2,Twins,--,R,R,--,--,--,--,--,2
55,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,2
56,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,2
57,O,1,10,L,-22,Run,Rush,0,Twins Split,--,L,R,--,--,--,--,--,2
58,O,2,10,L,-22,Pass,Incomplete,0,Twins Split,--,L,L,--,--,--,--,--,2
59,O,3,10,L,-22,--,Timeout,0,--,--,--,--,--,--,--,--,--,2
60,O,3,10,L,-22,Pass,Interception,--,Twins Split,--,L,L,--,--,--,--,--,2
61,D,1,10,R,24,Run,Rush,0,DOUBLES,--,BAL,L,--,--,--,--,--,2
62,D,2,10,L,24,Pass,"Complete, TD",24,DOUBLES,--,BAL,R,--,--,--,--,--,2
63,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,2
64,K,--,--,M,-40,KO Rec,Touchback,--,--,--,--,--,--,--,--,--,--,2
65,O,1,10,M,-20,Run,Rush,2,Twins Split,--,L,R,--,--,--,--,--,2
66,O,2,8,R,-22,Pass,Complete,0,DOUBLES,--,BAL,L,--,--,--,--,--,2
67,O,3,9,M,-22,Run,Rush,5,Twins,--,L,R,--,--,--,--,--,2
68,O,4,4,R,-27,Run,Rush,1,--,--,--,R,--,--,--,--,--,2
69,D,1,10,L,28,Pass,Fumble,28,DOUBLES,--,BAL,R,--,--,--,--,--,2
70,O,1,10,L,-2,Run,"Rush, Safety",-2,Twins,--,R,L,--,--,--,--,--,2
71,K,--,--,M,-20,KO,Out of Bounds,--,--,--,--,--,--,--,--,--,--,2
72,D,1,10,M,45,Pass,"Complete, TD",45,DOUBLES,--,BAL,R,--,--,--,--,--,2
73,K,--,--,M,3,Extra Pt. Block,Good,--,--,--,--,--,--,--,--,--,--,2
74,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,2
75,O,1,10,L,-20,Run,Rush,5,Trips,--,L,L,--,--,--,--,--,2
76,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,3
77,D,1,10,M,-30,Run,Rush,5,DOUBLES,--,BAL,L,--,--,--,--,--,3
78,D,2,5,L,-35,Run,Rush,6,Twins,--,R,L,--,--,--,--,--,3
79,D,1,10,L,-41,--,Timeout,0,--,--,--,--,--,--,--,--,--,3
80,D,1,10,L,-41,Run,Rush,6,Twins,--,R,L,--,--,--,--,--,3
81,D,2,4,L,-47,Run,Rush,4,Twins,--,R,L,--,--,--,--,--,3
82,D,1,10,L,49,Run,Penalty,-5,Twins,--,R,L,--,--,--,--,--,3
83,D,1,15,L,-46,Pass,Complete,4,Twins,--,R,R,--,--,--,--,--,3
84,D,2,11,R,50,Run,Rush,7,Twins,--,L,R,--,--,--,--,--,3
85,D,3,4,R,43,Run,Rush,12,Twins,--,L,L,--,--,--,--,--,3
86,D,1,10,L,31,Run,Rush,1,Twins,--,L,R,--,--,--,--,--,3
87,D,2,9,M,30,Run,Rush,4,Twins,--,L,R,--,--,--,--,--,3
88,D,3,5,R,26,Run,"Rush, TD",26,Twins,--,L,R,--,--,--,--,--,3
89,K,--,--,M,3,Extra Pt. Block,No Good,--,--,--,--,--,--,--,--,--,--,3
90,K,--,--,M,-40,KO Rec,Return,--,--,--,--,--,--,--,--,--,--,3
91,O,1,10,R,-20,Pass,Incomplete,0,DOUBLES,--,BAL,R,--,--,--,--,--,3
92,O,2,10,R,-20,Pass,Complete,8,Ace Twins,--,L,L,--,--,--,--,--,3
93,O,3,2,L,-28,Pass,Incomplete,0,DOUBLES,--,BAL,L,--,--,--,--,--,3
94,O,4,2,L,-28,Run,Rush,-2,DOUBLES,--,BAL,R,--,--,--,--,--,3
95,D,1,10,L,26,Run,Rush,0,Twins,--,R,L,--,--,--,--,--,3
96,D,2,10,L,26,Run,Rush,2,Twins,--,R,R,--,--,--,--,--,3
97,D,3,8,M,24,Run,Rush,2,Twins,--,L,R,--,--,--,--,--,4
98,D,4,6,M,22,Run,Rush,2,Twins,--,R,R,--,--,--,--,--,4
99,O,1,10,L,-20,Run,Rush,6,Twins,--,R,L,--,--,--,--,--,4
100,O,2,4,L,-26,Run,Rush,5,Twins,--,L,L,--,--,--,--,--,4
101,O,1,10,L,-31,Run,Rush,0,DOUBLES,--,BAL,L,--,--,--,--,--,4
102,O,2,10,L,-31,Run,Rush,-5,DOUBLES,--,BAL,R,--,--,--,--,--,4
103,O,3,15,M,-26,Pass,Incomplete,0,DOUBLES,--,BAL,L,--,--,--,--,--,4
104,K,4,15,M,-26,Punt,Downed,--,--,--,--,--,--,--,--,--,--,4
105,D,1,10,L,47,Run,Rush,3,Twins,--,R,L,--,--,--,--,--,4
106,D,2,7,L,44,Run,Rush,0,Twins,--,R,R,--,--,--,--,--,4
107,D,3,7,L,44,Run,Rush,1,Twins,--,L,R,--,--,--,--,--,4
108,D,4,6,R,43,Run,Rush,4,Twins,--,L,L,--,--,--,--,--,4
109,O,1,10,M,-38,Run,Fumble,7,Twins,--,R,R,--,--,--,--,--,4
110,D,1,10,L,45,Run,Rush,6,Twins,--,R,L,--,--,--,--,--,4
111,D,2,4,L,39,Run,Rush,-3,Twins Split,--,R,R,--,--,--,--,--,4
1,K,--,--,M,-40,KO,Return,--,--,--,--,--,--,--,--,--,--,1
2,D,1,10,R,-23,Run,Rush,7,DOUBLES,--,BAL,R,--,--,--,--,--,1
3,D,2,3,R,-30,Pass,Incomplete,0,DOUBLES,--,BAL,L,--,--,--,--,--,1
4,D,3,3,R,-30,Pass,Complete,5,DOUBLES,--,BAL,R,--,--,--,--,--,1
5,D,1,10,R,-35,Run,Penalty,-5,Trips,--,L,R,--,--,--,--,--,1
